transaction_id,timestamp,card_token,cardholder,merchant,merchant_category,amount,currency,transaction_type,status,country,city,postal_code,auth_code,terminal_id
T0001,2025-12-01T08:14:22Z,tok_a3f9b2c4d1e6f7a8_4821,Alice Johnson,Whole Foods,Grocery,86.42,USD,purchase,approved,US,San Francisco,94107,A4F2K9,TID1001
T0002,2025-12-01T09:03:10Z,tok_b4e1c3d5f6a7b8c9_3710,Bob Martinez,Shell,Fuel,45.00,USD,purchase,approved,US,Oakland,94612,7H2J5Q,TID1002
T0003,2025-12-01T11:27:45Z,tok_c5d2e4f6a7b8c9d0_5599,Charlie Nguyen,Amazon.com,Online Retail,129.99,USD,purchase,approved,US,San Jose,95112,9K8M2P,TID1003
T0004,2025-12-01T12:05:30Z,tok_d6f3a5b7c8d9e0f1_8246,David Smith,Starbucks,Dining,6.75,USD,purchase,approved,US,San Francisco,94103,B3G4R1,TID1004
T0005,2025-12-01T13:42:12Z,tok_e7a4b6c8d9e0f1a2_2104,Emma Lee,Best Buy,Electronics,399.99,USD,purchase,approved,US,San Mateo,94402,C5T7Y8,TID1005
T0006,2025-12-01T15:18:58Z,tok_f8b5c7d9e0f1a2b3_7033,Faisal Khan,Netflix,Subscription,15.99,USD,purchase,approved,US,Mountain View,94043,H2D9L6,TID1006
T0007,2025-12-01T16:50:05Z,tok_a9c6d8e0f1a2b3c4_6677,Gina Torres,City Hospital,Insurance,120.00,USD,purchase,approved,US,Redwood City,94063,D8N3B2,TID1007
T0008,2025-12-01T18:22:41Z,tok_b0d7e9f1a2b3c4d5_9990,Henry Walker,Local Pharmacy,Pharmacy,23.45,USD,purchase,approved,US,San Francisco,94110,F6R1S4,TID1008
T0009,2025-12-02T07:55:10Z,tok_c1e8f0a2b3c4d5e6_1357,Isha Patel,Uber,Travel,18.20,USD,purchase,approved,US,San Francisco,94107,J1K7V3,TID1009
T0010,2025-12-02T08:40:33Z,tok_a3f9b2c4d1e6f7a8_4821,Alice Johnson,Peet's Coffee,Dining,4.95,USD,purchase,approved,US,San Francisco,94107,L4P8Z0,TID1010
